City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Tiksi,RU,71.6872,128.8694,-19.5,96,63,5.41,broken clouds
138,Porto Santo,PT,33.072,-16.3415,63.3,67,40,10.36,scattered clouds
139,Shimoda,JP,34.6667,138.95,43.11,69,79,4.9,broken clouds
140,Mount Isa,AU,-20.7333,139.5,101.97,8,0,16.11,clear sky
141,Kodinsk,RU,58.6881,99.1844,-0.22,94,97,4.05,overcast clouds
142,Bambous Virieux,MU,-20.3428,57.7575,82.22,81,100,4.85,light rain
143,Aguimes,ES,27.9054,-15.4461,61.43,77,75,23.02,broken clouds
144,Camacha,PT,33.0833,-16.3333,60.53,67,40,10.36,scattered clouds
145,Half Moon Bay,US,37.4636,-122.4286,54.14,96,100,0.0,mist
146,Kruisfontein,ZA,-34.0033,24.7314,68.88,94,100,11.48,light rain
147,Dong Xoai,VN,11.5333,106.9167,90.72,46,3,3.09,clear sky
148,Leningradskiy,RU,69.3833,178.4167,-8.66,95,93,2.66,overcast clouds
149,Khandyga,RU,62.6667,135.6,-25.51,98,100,0.27,overcast clouds
150,Tangshan,CN,39.6333,118.1833,40.21,35,41,10.2,scattered clouds
151,Oskemen,KZ,49.9565,82.6119,22.93,85,75,0.0,mist
152,Andenes,NO,69.3143,16.1194,26.58,68,20,4.61,few clouds
153,Mount Gambier,AU,-37.8333,140.7667,66.11,82,100,17.27,overcast clouds
154,Klaksvik,FO,62.2266,-6.589,38.32,68,98,12.55,overcast clouds
155,Dhidhdhoo,MV,6.8833,73.1,80.82,76,54,7.25,broken clouds
156,Oran,DZ,35.6911,-0.6417,38.91,100,40,3.44,scattered clouds
157,Guerrero Negro,MX,27.9769,-114.0611,61.52,54,2,5.93,clear sky
158,Grindavik,IS,63.8424,-22.4338,36.07,80,75,13.8,broken clouds
159,Ankang,CN,32.68,109.0172,49.66,62,100,2.46,light rain
160,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.21,93,100,5.82,moderate rain
161,Presidente Olegario,BR,-18.4178,-46.4181,68.2,99,100,3.11,overcast clouds
162,Avarua,CK,-21.2078,-159.775,82.45,74,83,4.61,broken clouds
163,Wanning,CN,18.8003,110.3967,73.92,76,96,13.73,overcast clouds
164,Butaritari,KI,3.0707,172.7902,82.47,78,78,15.05,broken clouds
165,Jijiga,ET,9.35,42.8,67.69,61,98,2.8,light rain
166,Pacific Grove,US,36.6177,-121.9166,54.0,94,100,1.01,mist
167,Abu Dhabi,AE,24.4667,54.3667,71.62,50,0,0.0,clear sky
168,Ponnani,IN,10.767,75.9252,87.12,50,41,4.94,scattered clouds
169,Arman,RU,59.7,150.1667,12.02,76,31,11.81,scattered clouds
170,Labytnangi,RU,66.6572,66.4183,-14.21,99,100,3.38,overcast clouds
171,Muisne,EC,0.6,-80.0333,75.61,84,99,6.42,overcast clouds
172,Maningrida,AU,-12.0667,134.2667,90.97,57,82,11.52,broken clouds
173,Airai,TL,-8.9266,125.4092,68.09,85,99,2.13,heavy intensity rain
174,Sumbe,AO,-11.2061,13.8437,76.33,87,100,6.44,overcast clouds
175,Orje,NO,59.4802,11.6602,26.13,95,93,6.82,light snow
176,Launceston,AU,-41.45,147.1667,69.44,88,75,12.66,light rain
177,Putina,PE,-15.4667,-69.4333,44.29,78,97,5.86,overcast clouds
178,Aklavik,CA,68.2191,-135.0107,-6.41,89,98,27.31,overcast clouds
179,Arbagar,RU,51.9438,116.2805,3.34,88,100,1.59,overcast clouds
180,Lompoc,US,34.6391,-120.4579,55.13,89,100,8.05,mist
181,Christchurch,NZ,-43.5333,172.6333,67.32,53,5,9.22,clear sky
182,Kokstad,ZA,-30.5472,29.4241,65.93,73,84,3.6,broken clouds
183,Kamenka,RU,51.3223,42.7678,31.44,98,100,10.78,light snow
184,East London,ZA,-33.0153,27.9116,70.74,94,75,13.8,broken clouds
185,Yatou,CN,37.15,122.3833,40.1,49,12,3.94,few clouds
186,Esmeraldas,BR,-19.7625,-44.3139,68.86,99,100,3.49,overcast clouds
187,Liverpool,GB,53.4106,-2.9779,39.61,80,40,8.99,scattered clouds
188,Gwadar,PK,25.1216,62.3254,63.9,44,0,13.69,clear sky
189,Yellowknife,CA,62.456,-114.3525,-4.72,96,73,9.13,broken clouds
190,San Felipe,VE,10.3399,-68.7425,66.58,95,29,1.77,scattered clouds
191,Pevek,RU,69.7008,170.3133,-12.62,100,99,3.74,overcast clouds
192,Shirvan,AZ,39.9509,48.8994,47.07,46,57,3.6,broken clouds
193,Severo-Kurilsk,RU,50.6789,156.125,26.71,82,39,5.12,scattered clouds
194,Ostersund,SE,63.1792,14.6357,0.05,85,80,0.0,broken clouds
195,Kahului,US,20.8947,-156.47,73.85,87,20,5.75,few clouds
196,Talakan,RU,50.3167,130.3667,1.6,92,100,2.44,light snow
197,Laguna,US,38.421,-121.4238,53.6,94,100,1.01,mist
198,Grand Gaube,MU,-20.0064,57.6608,82.38,76,100,7.0,overcast clouds
199,Sinop,TR,41.7711,34.8709,41.43,78,99,6.31,overcast clouds
200,Tutoia,BR,-2.7619,-42.2744,78.94,82,84,9.86,broken clouds
201,Vao,NC,-22.6667,167.4833,76.89,70,59,19.82,broken clouds
202,Port Hardy,CA,50.6996,-127.4199,36.75,99,100,7.4,light rain
203,Galle,LK,6.0367,80.217,84.81,66,23,3.15,few clouds
204,North Bend,US,43.4065,-124.2243,51.94,91,100,14.97,overcast clouds
205,Tungor,RU,53.3808,142.9564,-2.47,93,100,19.82,overcast clouds
206,Areia Branca,BR,-4.9561,-37.1369,80.31,74,70,12.82,broken clouds
207,Hanyang,CN,32.1371,105.5126,45.45,78,100,4.59,overcast clouds
208,Zhezkazgan,KZ,47.8043,67.7144,24.78,93,100,8.95,mist
209,Kitami,JP,43.8031,143.8908,22.12,80,98,5.53,overcast clouds
210,Vanimo,PG,-2.6741,141.3028,79.11,90,93,9.26,overcast clouds
211,La Ronge,CA,55.1001,-105.2842,-27.94,99,22,3.89,few clouds
212,Sokolo,ML,14.7328,-6.1219,63.79,24,25,9.64,scattered clouds
213,San Julian,MX,21.0167,-102.1667,56.95,27,5,3.71,clear sky
214,Santa Cruz,BO,-17.8,-63.1667,76.46,88,40,2.3,scattered clouds
215,Agadez,NE,19.75,10.25,57.15,35,18,7.74,few clouds
216,Riyadh,SA,24.6877,46.7219,50.14,44,54,3.56,broken clouds
217,Khani,GE,41.9563,42.9566,29.77,69,64,6.31,broken clouds
218,Khatanga,RU,71.9667,102.5,-25.38,99,87,7.56,overcast clouds
219,Belaya Gora,RU,68.5333,146.4167,-27.4,96,97,1.7,overcast clouds
220,Biak,ID,-0.9131,122.8766,75.02,92,100,1.79,overcast clouds
221,Chukhloma,RU,58.7525,42.6825,21.69,92,99,8.55,overcast clouds
222,Zaragoza,ES,41.6561,-0.8773,44.46,72,20,3.0,few clouds
223,Kutoarjo,ID,-7.7169,109.9128,85.96,67,69,7.78,broken clouds
224,Porto Novo,BJ,6.4965,2.6036,77.02,81,1,2.66,clear sky
225,Arlit,NE,18.7369,7.3853,58.62,20,22,7.81,few clouds
226,Varkaus,FI,62.3153,27.873,3.31,92,100,9.15,light snow
227,Sakakah,SA,29.9697,40.2064,51.62,53,55,6.33,broken clouds
228,Garowe,SO,8.4054,48.4845,75.58,65,90,15.9,overcast clouds
229,Cap Malheureux,MU,-19.9842,57.6142,82.47,76,100,7.0,overcast clouds
230,Leh,IN,34.1667,77.5833,11.17,70,94,2.82,overcast clouds
231,Isangel,VU,-19.55,169.2667,87.91,70,40,11.5,scattered clouds
232,Beirut,LB,33.8889,35.4944,63.37,62,0,6.91,clear sky
233,Aktash,RU,50.3,87.7333,14.7,86,100,3.51,overcast clouds
234,Altay,CN,47.8667,88.1167,25.79,79,99,0.45,overcast clouds
235,Kyaukse,MM,21.6,96.1333,80.6,47,20,3.44,few clouds
236,Vung Tau,VN,10.346,107.0843,80.53,72,31,10.09,scattered clouds
237,Kavieng,PG,-2.5744,150.7967,79.7,78,97,7.74,moderate rain
238,Boende,CD,-0.2167,20.8667,76.87,68,18,1.59,few clouds
239,Ibra,OM,22.6906,58.5334,64.65,37,0,16.89,clear sky
240,Peace River,CA,56.2501,-117.286,-32.76,100,49,3.96,scattered clouds
