City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Zinder,NE,2021-09-26 08:07:25,13.8072,8.9881,87.01,24,6,3.38
161,Asau,RO,2021-09-26 08:07:26,46.4333,26.4,67.95,57,0,0.96
162,Husavik,IS,2021-09-26 08:07:26,66.0449,-17.3389,41.61,95,100,29.42
163,Beinamar,TD,2021-09-26 08:07:26,8.6698,15.3813,78.15,77,77,3.85
164,Havre-Saint-Pierre,CA,2021-09-26 08:07:27,50.2334,-63.5986,49.57,95,100,3.85
165,Catamarca,AR,2021-09-26 08:07:27,-28.4696,-65.7852,67.77,42,0,1.99
166,Bambous Virieux,MU,2021-09-26 08:07:27,-20.3428,57.7575,77.22,72,6,17.34
167,Caluquembe,AO,2021-09-26 08:07:28,-13.7833,14.6833,80.4,18,0,9.04
168,Batagay-Alyta,RU,2021-09-26 08:07:28,67.8006,130.4114,32.99,83,91,1.28
169,Altay,CN,2021-09-26 08:07:28,47.8667,88.1167,52.29,22,100,7.43
170,Bluff,NZ,2021-09-26 08:07:29,-46.6,168.3333,42.8,60,83,9.66
171,Coahuayana,MX,2021-09-26 08:07:29,18.7333,-103.6833,77.81,89,100,2.42
172,Severo-Kurilsk,RU,2021-09-26 08:07:29,50.6789,156.125,46.92,88,4,10.36
173,Barrow,US,2021-09-26 08:07:29,71.2906,-156.7887,24.82,86,90,5.75
174,Georgetown,MY,2021-09-26 08:07:30,5.4112,100.3354,87.73,70,20,3.44
175,Tuktoyaktuk,CA,2021-09-26 08:07:30,69.4541,-133.0374,33.6,96,100,13.31
176,Grindavik,IS,2021-09-26 08:07:30,63.8424,-22.4338,41.47,81,75,27.63
177,Matay,EG,2021-09-26 08:07:31,28.419,30.7792,80.78,44,5,14.41
178,Portland,US,2021-09-26 08:07:31,45.5234,-122.6762,61.36,79,20,1.01
179,Oshakati,NA,2021-09-26 08:07:31,-17.7833,15.6833,82.8,12,0,8.05
180,Gaoual,GN,2021-09-26 08:07:31,11.75,-13.2,75.69,95,100,0.22
181,Erenhot,CN,2021-09-26 08:07:32,43.6475,111.9767,69.37,12,15,19.98
182,Saskylakh,RU,2021-09-26 08:07:32,71.9167,114.0833,33.6,97,100,15.55
183,Clyde River,CA,2021-09-26 08:07:32,70.4692,-68.5914,24.13,88,17,5.06
184,Katiola,CI,2021-09-26 08:07:33,8.1333,-5.1,72.3,94,100,2.98
185,Jitra,MY,2021-09-26 08:03:05,6.2681,100.4217,83.93,78,92,9.46
186,Upernavik,GL,2021-09-26 08:07:33,72.7868,-56.1549,19.62,61,0,4.7
187,Nouadhibou,MR,2021-09-26 08:07:33,20.931,-17.0347,73.13,78,16,15.01
188,Kaa-Khem,RU,2021-09-26 08:07:34,51.6833,94.7333,49.73,32,100,6.73
189,Bonavista,CA,2021-09-26 08:07:34,48.6499,-53.1147,48.11,87,49,17.58
190,Hailar,CN,2021-09-26 08:07:34,49.2,119.7,60.26,87,100,20.4
191,Aykhal,RU,2021-09-26 08:07:35,66.0,111.5,38.5,51,7,17.2
